tick,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,norm_z,lambda1,omega
20,-0.21906074696592842,-0.2453240233444934,-0.22006111166023182,-0.15550549120722124,0.08042335118005467,0.9554962708837906,1.4919408659078028,1.6831854219184181,1.7129340532773765,1.7582629938193974,1.7357001211913323,1.6692806685703618,1.4047181513667764,0.7128700806133165,-0.03414435112455154,-0.16911413837026976,-0.23875671889228273,-0.23674610938742915,-0.2548010817539533,-0.22060211292640428,-0.2357974618696699,-0.20259356032599704,-0.2404849295443746,-0.22284929481559368,-0.23859084866049407,-0.27638972161483444,-0.2703230588534772,-0.25872892221311666,-0.2558588886993463,-0.18663102884473232,4.615148731503755,0.006249439044605176,
21,-0.20593606344016885,-0.24191810182244433,-0.22864746399734698,-0.20828151294318317,-0.041056604019470644,0.5326680695183648,1.386013021940879,1.6916512825359757,1.6909396063203728,1.7396672632267292,1.7039221123189237,1.715741060982934,1.6286817717040858,1.113008554373095,0.20998216713288198,-0.16475436322268522,-0.2086254705767456,-0.2508505508269345,-0.26082796006885917,-0.20657753727702716,-0.26654738339079787,-0.27650596584899667,-0.26962640051876785,-0.23437933836846278,-0.18710684907115566,-0.27862700086450093,-0.1985747144582424,-0.2908654756773713,-0.2515550812320043,-0.19674175265743055,4.6680994879104025,-0.004834699885727822,
22,-0.2633781066261422,-0.22496260965003465,-0.21342128413428266,-0.24155548584435885,-0.13395170313148305,0.32758012233158623,1.177181023876735,1.6232510098182376,1.7048196849391808,1.7001970364731174,1.7241182466946707,1.7296737826276796,1.6122402727994052,1.3032346363776957,0.39525766762099335,-0.11531802536567531,-0.21890486050019958,-0.251474988735987,-0.22832801034565917,-0.26136725081457307,-0.2063654945081204,-0.21170008212378294,-0.24685694064109767,-0.21890803989199406,-0.25012263333734236,-0.26570390323594206,-0.23823145230287623,-0.2784626419316567,-0.22930117646968814,-0.25121624278052657,4.627044247860224,-0.001621397557858617,
23,-0.2310781700786277,-0.21795251872338323,-0.23917344280777947,-0.20389325994335208,-0.1764304082033151,0.0892415757723763,0.8721116187869767,1.5168134805555726,1.7095660984864427,1.7623062705380212,1.7509337815011747,1.6891755953485033,1.6964431682477474,1.472872655790587,0.7528083397271814,0.05960953273608393,-0.23900648482457876,-0.25332887833459344,-0.25178017245152096,-0.23396995872214435,-0.258721677899467,-0.24516861691938036,-0.2468300035046431,-0.2340821175714032,-0.244534153872332,-0.2619395482170308,-0.2263299533555565,-0.22105480554360465,-0.23477997457380032,-0.2503120234474819,4.657629939205319,-0.0023093032357524024,
24,-0.2470242258994487,-0.2283571833682934,-0.20944934884995886,-0.23875234220816552,-0.19267442823279496,0.0020181612088454245,0.7553709557410226,1.5029174782069912,1.6867947514246886,1.6947795727823027,1.7325117081536427,1.7059837381826033,1.6886425068026039,1.550773450915578,0.917581801453547,0.0741032074710811,-0.17449817008382865,-0.22757884872400652,-0.2397486609346515,-0.23870353887292117,-0.2626560676739765,-0.2216225698540822,-0.23738108269839694,-0.22832709111371902,-0.20949447883608954,-0.25802912010110307,-0.23545404984251925,-0.2635930659670297,-0.25398269849212723,-0.26644446007649036,4.648449164980125,-0.0033990514553253748,
25,-0.26604317791604276,-0.2382543067758007,-0.22435618755443254,-0.2181232594436764,-0.24840348069633417,-0.21712593640573408,-0.0534932775996114,0.5549252605816493,1.3846108151129342,1.6814833759017886,1.7348257227513537,1.7053637455677872,1.7398389949537048,1.6747900503293172,1.5750254852137817,1.1182176657191296,0.24687327306747184,-0.13378896572409998,-0.22094428330243804,-0.2673713346276737,-0.25155594207972054,-0.2261464812837026,-0.2362580703951976,-0.2312178749768315,-0.21652852115425034,-0.2440950649570253,-0.24127188420866386,-0.2639735317534138,-0.26400776318536906,-0.24345853686994404,4.6536857448715505,-0.0028183123901602825,
26,-0.21599984872997047,-0.22195465184873314,-0.2688354453259982,-0.23421984101846924,-0.2156428807340086,-0.22365276081200905,-0.15999839084719225,0.1776359147961124,0.9960395155611242,1.5515546321643203,1.7533957599901007,1.7187443969703435,1.7388990816631256,1.7241932991513425,1.619330678408173,1.3701567048261627,0.5520873549312819,-0.05441376801872605,-0.1545307554807221,-0.2532266809085653,-0.2173156615513909,-0.22081240741220245,-0.24404577927541407,-0.24640352598726953,-0.2158189482726226,-0.2679160837410128,-0.23611702054115186,-0.2426318703214854,-0.2709407803671493,-0.26517392664811085,4.614057154693166,0.0027866030915145723,
27,-0.23106000490229228,-0.24055068368552007,-0.24123760260277302,-0.2090225159525063,-0.18710017497838613,-0.24069262797220847,-0.20290485074000963,-0.010973983684340983,0.7714585360437373,1.4642036529884175,1.630707065825941,1.7332840809943648,1.7341253366611715,1.7231318596585137,1.7103951975855296,1.5539229998919808,0.9232289120035728,0.09871210385665281,-0.1820681651085888,-0.22381194775959484,-0.2631935968313976,-0.22385279706567826,-0.2442295464889365,-0.2248100405330634,-0.2338269724033672,-0.27565565556733407,-0.2613478730219307,-0.28029737441216523,-0.2497771207712397,-0.22160721600963015,4.650841386574757,-0.001153500627686821,
28,-0.20374978287131967,-0.23296007438145522,-0.2211585500986841,-0.21007043027615044,-0.20417718413583863,-0.2230978091120414,-0.23349923698311428,-0.21974800253670745,-0.08329285341478779,0.4797092062909982,1.320452825048006,1.6653018765353016,1.6774581536661335,1.7099017553297373,1.734769016364975,1.7183031191717553,1.6146084230424655,1.1211547836857865,0.2316031513208863,-0.15252615373847997,-0.20152655438587,-0.26231014216115056,-0.21704287718440213,-0.2687346900238265,-0.2529328527241705,-0.2525207339187182,-0.23169265646638637,-0.2625987037598389,-0.23277249161585079,-0.2681748247634957,4.624141107940416,-0.0014190486924469115,
29,-0.2694796072271332,-0.21570137083136684,-0.2311230243666097,-0.23950678378549473,-0.2381848852402721,-0.20061501195650544,-0.22180189248985824,-0.2363401304466601,-0.17802727289955533,0.195267824609764,1.0565069316915927,1.5556616675958017,1.6961717946864854,1.7233191949305484,1.7487357210198602,1.745863060669572,1.6688552046423686,1.4445463077072012,0.5848532412895463,-0.06287955250567637,-0.20392801945139757,-0.22312574528814644,-0.24486117821092504,-0.2232775571920016,-0.23625339936079007,-0.2214194505326793,-0.24096645384403675,-0.24224080696560601,-0.25032512345514896,-0.19034338810976784,4.661595852733804,-0.006167318442431791,
