tick,perception_0,perception_1,perception_2,perception_3,perception_4,perception_5,perception_6,perception_7,perception_8,perception_9,perception_10,perception_11,perception_12,perception_13,perception_14,perception_15,perception_16,perception_17,perception_18,perception_19,perception_20,perception_21,perception_22,perception_23,perception_24,perception_25,perception_26,perception_27,perception_28,perception_29,channel
21,-0.2,-0.2,-0.2,-0.20000000000000479,-0.2000000000193929,-0.2000000263892811,-0.2000121062070379,-0.20188477238569866,-0.30076043229964544,-2.092997641000859,-13.391731093313432,-39.45333559778097,-66.9614569507729,-86.57916987568453,-95.19089748737878,-94.518519892848,-87.13035395910937,-61.79672909365831,-23.203479647166397,-3.669647016577958,-0.3886811165126911,-0.20355225862679685,-0.20002281030145866,-0.2000000496344849,-0.20000000003646842,-0.20000000000000903,-0.2,-0.2,-0.2,-0.2,objects
22,-0.2,-0.2,-0.2,-0.2,-0.20000000000001472,-0.2000000000518248,-0.2000000613098989,-0.20002446425732484,-0.20331639418321215,-0.3547394976007642,-2.7512006987871,-16.017083849922688,-43.442265414441536,-70.89767364441498,-89.81829712302718,-97.13016370382101,-95.33567939064646,-84.8920591702297,-54.173601228071156,-17.254999144287957,-2.316841230549507,-0.293840847719928,-0.20143617308608547,-0.2000074903916566,-0.20000001323386657,-0.20000000000789336,-0.2000000000000016,-0.2,-0.2,-0.2,objects
23,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000006007,-0.2000000001771021,-0.2000001755011866,-0.20005872281494705,-0.20668724795395982,-0.4629835910107369,-3.880834826409563,-19.930034561223234,-48.825477598471664,-75.56250656562058,-92.74265543837168,-98.75410380892653,-95.4033705852653,-80.28547227659784,-45.142053556611664,-12.046799944643865,-1.396834108196161,-0.24282663813723754,-0.20052778280999214,-0.20000221504688853,-0.20000000314831243,-0.20000000000151036,-0.20000000000000026,-0.2,-0.2,objects
24,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.20000000000027238,-0.20000000066088697,-0.20000053952397867,-0.200148927432124,-0.2140226546836167,-0.6578086167252666,-5.567393881240658,-24.858556845682333,-54.87250685061297,-80.25805536809426,-95.49425998264171,-100.35195779282256,-94.2035370539624,-73.53040796813039,-35.87440234561384,-7.950317231776755,-0.8315683233451499,-0.2181069671996202,-0.200178455028917,-0.20000059861120015,-0.20000000067980955,-0.20000000000026052,-0.20000000000000004,-0.2,objects
25,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000002,-0.20000000000120344,-0.2000000024013668,-0.2000016136964174,-0.2003672283016661,-0.2285773155790913,-0.9746749227429932,-7.822752661813174,-30.400469623183124,-60.96774573027348,-84.66376860806524,-98.42114631376988,-101.69663673039508,-91.36987821947646,-65.32866753544145,-27.28793076284339,-4.9998958368741695,-0.5134911833033284,-0.2071673929197373,-0.20005624901292243,-0.20000015014888065,-0.2000000001356312,-0.20000000000004134,-0.2,objects
26,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000107,-0.20000000000516363,-0.20000000846886368,-0.20000468277700054,-0.20087833588700402,-0.2564911253084966,-1.4724690014393564,-10.739430413558752,-36.467686894015955,-66.96586348641418,-88.85545712648486,-101.60863611221825,-102.08498293284104,-86.79233564259779,-56.23373463712608,-19.841090215716143,-3.0147878833484723,-0.3466985729948728,-0.20266609842985545,-0.2000166087614016,-0.20000003516488638,-0.20000000002518048,-0.2000000000000061,objects
27,-0.20000000000000084,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000534,-0.20000000002139853,-0.20000002885210677,-0.2000131308714742,-0.20203080835858997,-0.30802540597551675,-2.225147908558964,-14.37650960082368,-42.908951710732694,-72.70663979816682,-93.00474581459756,-104.75783430978744,-100.87853883166228,-80.79840261701497,-46.866432774086995,-13.813517877282113,-1.7702914504503493,-0.26520513472982454,-0.20094109980393507,-0.2000046489272317,-0.20000000779795016,-0.20000000000442092,objects
28,-0.20000000000073534,-0.20000000000000012,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000268,-0.20000000008795407,-0.2000000971541634,-0.20003627049029868,-0.2046106481701935,-0.40227904460641334,-3.351076727078473,-18.8686528152952,-49.70000101747397,-78.18589597299508,-97.30521452451976,-107.23238720780166,-97.82299229568564,-73.67408790258479,-37.672066240854214,-9.202768720298067,-1.0332992708791153,-0.2275448332990132,-0.20031550438855697,-0.20000123492798655,-0.20000000163967452,objects
29,-0.20000000032924514,-0.20000000000011683,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.2000000000001392,-0.20000000037080456,-0.20000033271132903,-0.20010104393769035,-0.21047205799188956,-0.5760801567938187,-5.03929000704957,-24.407329870676495,-56.796823594357264,-83.41842451483879,-101.7611901565119,-108.1597232200673,-93.01909786316754,-65.6520571939038,-29.125598528064465,-5.884053171078779,-0.6217836272211356,-0.2111017643136736,-0.20010095251239315,-0.20000031318295045,objects
30,-0.20000007633492325,-0.20000000006361943,-0.20000000000001789,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000012,-0.20000000000073956,-0.20000000158643452,-0.20000114753460924,-0.20028139928225613,-0.22360649295054869,-0.8894702353260506,-7.494833917264058,-30.98526647883778,-63.8824458286458,-88.46783391672967,-106.08021464122183,-106.8690971437717,-87.01457101663951,-57.07532192411247,-21.656150791856486,-3.6353571911956526,-0.4044559945187238,-0.20429001838324407,-0.20003100741130983,objects
